id,name,s1_percentage_unemployed,s2_percentage_long_term_unemployed,s3_percentage_transfer_payments_recipients,s4_percentage_transfer_payments_recipients_below_15_years,d1_percentage_unemployed,d2_percentage_long_term_unemployed,d3_percentage_transfer_payments_recipients,d4_percentage_transfer_payments_recipients_below_15_years,name,k01_youth_unemployment,k02_single_parent_households,k03_old_age_poverty,k04_children_with_migration_background,k05_inhabitants_with_migration_background,k06_change_proportion_of_foreigner,k07_foreign_transfer_recipients,k08_urban_apartments,k09_simple_residential_area,k10_duration_of_residence_over_5_years,k11_migration_volume,k12_balance_of_migration,k13_balance_of_migration_of_children_below_6
Nummer,Name,"SD: 1,66%","SD: 0,52%","SD: 4,51%","SD: 12,37%","SD: 0,49 %-Pkt.","SD: 0,27 %-Pkt.","SD: 0,47 %-Pkt.","SD: 1,53 %-P.",Name,1.5546,2.49648,2.86182,17.64091,11.79417,0.57335,9.61307,7.806,25.02427,3.82369,3.81408,0.3932,2.29774
01,Mitte,10.50887,3.40367,19.95064,52.13662,-1.84603,-0.18494,0.08902,-2.0739,Mitte,5.58914,30.25892,9.58509,72.0818,46.55562,1.23285,34.28923,13.53801,70.92189,53.12276,34.35672,1.71698,-2.97631
02,Friedrichshain-Kreuzberg,9.44788,3.09784,16.90126,40.84289,-0.81349,0.0138,-1.26374,-5.55218,Friedrichshain-Kreuzberg,6.22736,30.28914,10.81132,57.03147,37.61444,1.20168,31.28308,13.96526,68.31867,52.93477,33.10978,1.08344,-3.99373
03,Pankow,7.13013,2.33031,7.72341,16.34659,-1.14449,-0.58927,-0.25454,-2.63823,Pankow,4.05579,31.87102,2.48284,20.49774,13.691,1.45954,12.22896,15.65098,34.52392,56.83601,26.96324,1.22234,-0.96427
04,Charlottenburg-Wilmersdorf,6.72899,2.74006,9.8901,23.0303,-0.86219,-0.32064,-0.14384,-2.16238,Charlottenburg-Wilmersdorf,2.89865,32.7131,6.21442,55.15736,35.97587,1.11043,16.31676,7.83171,6.05971,62.18679,25.42487,1.42265,-0.38586
05,Spandau,10.54587,3.63449,16.22489,42.47449,-0.29712,0.23466,0.2781,-0.05653,Spandau,7.25967,33.87256,4.3056,45.91848,27.7271,1.24776,37.85642,11.18714,62.90141,60.98639,26.10898,1.52701,2.20862
06,Steglitz-Zehlendorf,5.27091,1.88976,6.47143,15.38983,-0.29447,0.18098,-0.38356,-1.01436,Steglitz-Zehlendorf,2.49025,28.43682,2.62757,37.07293,23.71596,0.65367,13.58688,2.23529,6.58572,64.44876,22.06602,1.12243,2.87046
07,Tempelhof-Schöneberg,7.99304,2.68884,12.90877,32.8921,-0.28741,0.03536,0.16446,-0.96817,Tempelhof-Schöneberg,4.77855,31.01711,5.89382,51.56886,31.64286,-0.63146,27.49278,10.23339,29.0773,62.82534,24.652,0.16538,0.15165
08,Neukölln,10.47129,3.23788,21.02583,53.83854,-0.75975,-0.20966,-0.72291,-0.44718,Neukölln,5.92068,30.39449,7.32767,67.1879,41.1244,1.01991,39.66137,10.1348,87.32048,58.79475,26.90616,1.66476,-1.34359
09,Treptow-Köpenick,7.50672,2.70883,8.39881,22.87611,-0.58102,-0.32261,0.17152,-1.23907,Treptow-Köpenick,3.83005,33.10764,1.70539,15.93131,8.39553,0.71842,22.64035,18.88248,22.352,63.45587,22.04935,1.09939,0.06244
10,Marzahn-Hellersdorf,10.08312,3.66948,15.33554,42.57596,-0.58633,0.2309,0.17786,-1.82956,Marzahn-Hellersdorf,7.65176,37.6163,3.10199,22.0217,12.23921,0.84534,38.80545,24.7219,42.40369,63.9908,22.22909,1.1002,3.04114
11,Lichtenberg,9.50287,3.23384,12.5368,35.36745,-1.46515,-0.55504,0.29963,-1.55712,Lichtenberg,5.91308,36.12568,2.43679,30.46521,16.06687,1.40634,31.40184,33.42397,25.65747,60.68755,25.89785,1.38101,0.09205
12,Reinickedorf,8.53698,2.57853,14.32467,38.90752,-0.17302,-0.14073,0.44189,0.87442,Reinickendorf,5.91572,32.46329,3.47672,45.7176,25.75286,1.71748,36.86764,16.8546,50.55287,62.33786,23.7315,1.52433,3.71099
